STT,OLT Hostname,Site Code,Đơn vị quản lý,Lớp mạng,OLT Vander,OLT Type,IP,Tình trạng white-list
1,YGN0519OLT001,YGN0519,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,Huawei,MA5801,10.69.109.49,Chưa add white-list
2,YGN0409OLT001,YGN0409,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,ZTE,C610,10.69.108.210,Chưa add white-list
3,YGN1320OLT001,YGN1320,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.111.65,Chưa add white-list
4,YGN1295OLT001,YGN1295,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,ZTE,C610,10.69.112.241,Chưa add white-list
5,YGN1274OLT001,YGN1274,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.109.145,Chưa add white-list
6,YGN0508OLT001,YGN0508,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,ZTE,C610,10.69.110.225,Chưa add white-list
7,YGN0526OLT001,YGN0526,MYT_YGN_TEAM06_Dagon Myothit (North),GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.110.17,Chưa add white-list
8,YGN0457OLT001,YGN0457,MYT_YGN_TEAM05_Insein,GPON_OLT,Huawei,MA5801,10.69.95.113,Chưa add white-list
9,YGN0428OLT001,YGN0428,MYT_YGN_TEAM05_Insein,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.95.226,Chưa add white-list
10,YGN0907OLT001,YGN0907,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C610,10.77.13.161,Chưa add white-list
11,YGN1437OLT002,YGN1437,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C610,10.69.116.242,Chưa add white-list
12,YGN1297OLT001,YGN1297,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.115.177,Chưa add white-list
13,YGN0360OLT001,YGN0360,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.115.33,Chưa add white-list
14,YGN1437OLT001,YGN1437,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C610,10.69.116.241,Chưa add white-list
15,YGN0269OLT001,YGN0269,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.114.81,Chưa add white-list
16,YGN0227OLT001,YGN0227,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.116.97,Chưa add white-list
17,YGN0127OLT001,YGN0127,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.3.129,Chưa add white-list
18,YGN0373OLT001,YGN0373,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.113.177,Chưa add white-list
19,YGN0220OLT001,YGN0220,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.117.225,Chưa add white-list
20,YGN0023OLT001,YGN0023,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.4.145,Chưa add white-list
21,YGN0375OLT001,YGN0375,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.4.177,Chưa add white-list
22,YGN0352OLT001,YGN0352,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.116.129,Chưa add white-list
23,YGN0384OLT001,YGN0384,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.113.81,Chưa add white-list
24,YGN0380OLT001,YGN0380,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.115.241,Chưa add white-list
25,YGN0399OLT001,YGN0399,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.113.241,Chưa add white-list
26,YGN0022OLT001,YGN0022,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.5.97,Chưa add white-list
27,YGN1277OLT001,YGN1277,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.115.225,Chưa add white-list
28,YGN1390OLT001,YGN1390,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.116.193,Chưa add white-list
29,YGN0363OLT001,YGN0363,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.114.1,Chưa add white-list
30,YGN0359OLT001,YGN0359,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.115.1,Chưa add white-list
31,YGN0377OLT001,YGN0377,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.116.1,Chưa add white-list
32,YGN0050OLT001,YGN0050,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.126.113,Chưa add white-list
33,YGN0356OLT001,YGN0356,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.116.65,Chưa add white-list
34,YGN1290OLT001,YGN1290,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.11.161,Chưa add white-list
35,YGN1112OLT001,YGN1112,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.2.241,Chưa add white-list
36,YGN0386OLT001,YGN0386,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.114.49,Chưa add white-list
37,YGN0017OLT001,YGN0017,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.114.241,Chưa add white-list
38,YGN0372OLT001,YGN0372,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.115.113,Chưa add white-list
39,YGN0201OLT001,YGN0201,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.69.117.145,Chưa add white-list
40,YGN0398OLT001,YGN0398,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C610,10.69.115.81,Chưa add white-list
41,YGN0136OLT001,YGN0136,MYT_YGN_TEAM03_Thingangyun,GPON_OLT,ZTE,C320_mini_OLT_ZTE,10.77.4.65,Chưa add white-list
42,YGN0278OLT001,YGN0278,MYT_YGN_TEAM01_Dagon,GPON_OLT,ZTE,C610,10.69.94.113,Chưa add white-list
